Column1,Column2,Column3
13.092881,29.422244,8454.407727
13.235288,29.41574,8458.220224
13.377957,29.420689,8455.318872
13.521636,29.42335,8453.759676
13.664465,29.416841,8457.574686
13.807386,29.4177,8457.070825
13.950005,29.439892,8444.072057
14.092125,29.438488,8444.893818
14.235019,29.409287,8462.004366
14.378221,29.433392,8447.877311
14.521908,29.419834,8455.820146
14.664798,29.423963,8453.400354
14.8087,29.454274,8435.658353
14.950875,29.423709,8453.549571
15.093575,29.4184,8456.660673
15.237019,29.421074,8455.09367
15.379607,29.429975,8449.878336
15.522851,29.423186,8453.855972
15.664827,29.408916,8462.22201
15.808099,29.435581,8446.595452
15.956949,29.424214,8453.253608
16.099085,29.422741,8454.116615
16.241817,29.427569,8451.28751
16.385782,29.423229,8453.830594
16.528535,29.409283,8462.006671
16.671641,29.411274,8460.838883
16.814597,29.430675,8449.468487
16.957345,29.422499,8454.258308
17.100492,29.414992,8458.658449
17.242822,29.41888,8456.379465
17.384814,29.407948,8462.789498
17.527407,29.437387,8445.538529
17.67063,29.423229,8453.830594
17.813729,29.414612,8458.881311
17.955937,29.426736,8451.775835
18.099096,29.387514,8474.784407
18.241715,29.413758,8459.382392
18.383585,29.408311,8462.576729
18.526731,29.410833,8461.09742
18.670123,29.425833,8452.304677
18.812638,29.423587,8453.620603
18.956295,29.414565,8458.909139
19.099939,29.417415,8457.237915
19.243327,29.430494,8449.574589
19.385846,29.411663,8460.610752
19.528729,29.415899,8458.126649
19.67128,29.424572,8453.04358
19.814345,29.414336,8459.043385
19.957638,29.427151,8451.5329
20.100364,29.423576,8453.62748
20.243768,29.419078,8456.263044
20.387236,29.395129,8470.312585
20.529983,29.384978,8476.274286
20.673179,29.398058,8468.593289
20.81641,29.400174,8467.35087
20.958437,29.39671,8469.384202
21.100968,29.399448,8467.776934
21.244275,29.39112,8472.666354
21.38662,29.433871,8447.596868
21.529644,29.409836,8461.681897
21.672701,29.394792,8470.51012
21.816133,29.390564,8472.992954
21.958126,29.41862,8456.531541
22.10167,29.420866,8455.215113
22.244714,29.42804,8451.011702
22.386858,29.38907,8473.870692
22.531599,29.406743,8463.496547
22.675097,29.420751,8455.282714
22.819325,29.395193,8470.274763
22.962707,29.40546,8464.249205
23.108764,29.407444,8463.08519
23.25563,29.411926,8460.456557
23.39958,29.410424,8461.337249
